OBJECTID,ED_GUID,ED_OFFICIA,ED_ENGLISH,ED_GAEILGE,ED_ID_STR,ED_PART_CO,COUNTY_COD,COUNTY_ENG,COUNTY_GAE,CSO_LEA,SHAPE_Leng,SHAPE_Area
"1508",2ae19629-1ca5-13a3-e055-000000000001,Y,STILLORGAN-PRIORY,STIGH LORGAN-AN PHRIÓIREACHT,"267129","1","05",DUN LAOGHAIRE/RATHDOWN,Baile Átha Cliath,BLACKROCK,3860.312995348617278,-556869.165715730749071
"1509",2ae19629-1ca6-13a3-e055-000000000001,Y,SUTTON,CILL FHIONNTAIN,"267130","1","04",FINGAL,Baile Átha Cliath,HOWTH-MALAHIDE,7849.665712614486438,-1441395.657469114288688
"1510",2ae19629-1ca7-13a3-e055-000000000001,Y,SWORDS-GLASMORE,SORD-AN GHLAS MHÓR,"267131","1","04",FINGAL,Baile Átha Cliath,SWORDS,12790.336863423961404,-4505431.737082710489631
"1511",2ae19629-1ca8-13a3-e055-000000000001,Y,SWORDS-FORREST,SORD-AN FHORAOIS,"267132","1","04",FINGAL,Baile Átha Cliath,SWORDS,12295.438360960824866,-6682385.819546602666378
"1512",2ae19629-1ca9-13a3-e055-000000000001,Y,DRUMCARN,DROIM CHAIRN,"027044","1","32",CAVAN,An Cabhán,BAILIEBOROUGH-COOTEHILL,33455.085343221544463,-25327494.388758651912212
"1513",2ae19629-1caa-13a3-e055-000000000001,Y,DRUMLUMMAN,DROIM LOMÁIN,"027045","1","32",CAVAN,An Cabhán,BALLYJAMESDUFF,21762.101457028344157,-17617760.812979619950056
"1514",2ae19629-1cab-13a3-e055-000000000001,Y,DRUNG,DRONG,"027046","1","32",CAVAN,An Cabhán,BAILIEBOROUGH-COOTEHILL,25669.785400084583671,-22631876.040269777178764
"1515",2ae19629-1cac-13a3-e055-000000000001,Y,GRADDUM,GRADAM,"027050","1","32",CAVAN,An Cabhán,BALLYJAMESDUFF,25344.850511259784980,-21101422.864938721060753
"1516",2ae19629-1cad-13a3-e055-000000000001,Y,GRILLY,AN GHREALLAIGH,"027051","1","32",CAVAN,An Cabhán,CAVAN-BELTURBET,36815.619352483940020,-21192810.257045380771160
"1517",2ae19629-1cae-13a3-e055-000000000001,Y,TULLYVIN EAST,TULAIGH BHINN THOIR,"027090","1","32",CAVAN,An Cabhán,BAILIEBOROUGH-COOTEHILL,27217.689175584491750,-21721665.436640661209822
"1518",2ae19629-1caf-13a3-e055-000000000001,Y,TULLYVIN WEST,TULAIGH BHINN THIAR,"027091","1","32",CAVAN,An Cabhán,BAILIEBOROUGH-COOTEHILL,28766.490700762431516,-17097792.253967862576246
